time, x, y
6.004,-2.879900893218849,-3.0799351487197453
6.008,-2.879900893218849,-3.0799351487197453
6.267,-2.8730721395433223,-3.098808342996735
6.508,-2.861132808835966,-3.1315531752495063
6.758,-2.8490946031531603,-3.164389358878237
7.008,-2.835330480501619,-3.201937282946173
7.259,-2.8233094043449505,-3.2347407936154413
7.5120000000000005,-2.809557339519411,-3.2720982802811993
7.758,-2.7973954134878243,-3.3051482574143862
8.008,-2.783682525156164,-3.342370358111061
8.26,-2.7698057116859878,-3.379916917177088
8.511,-2.7576654831735192,-3.412809295333288
8.758,-2.7455667679439832,-3.4454664020962356
9.01,-2.731678166937314,-3.482894083564247
9.262,-2.7177892271952087,-3.520372748452997
9.508,-2.70563233048488,-3.553008000419981
9.758,-2.6933549698140835,-3.585965831867747
10.008,-2.679481215780816,-3.6232281314197845
10.258,-2.6672202698627383,-3.656017252140879
10.509,-2.653206757035828,-3.693503288735405
10.758,-2.64098443918739,-3.726173123084065
11.008,-2.626977058462007,-3.7634780583350302
11.271,-2.612870324270624,-3.8010919469262308
11.509,-2.600655104345753,-3.833546223947548
11.759,-2.5882721212435458,-3.8663954204618594
12.009,-2.574214191544064,-3.903751646640357
12.258,-2.5601142346258308,-3.9410214944283344
12.508,-2.5477206962267016,-3.973776531296492
12.762,-2.5336027032087265,-4.011107648013056
13.011,-2.5212275567282094,-4.043694975013834
13.258,-2.508732158447982,-4.076604711977153
13.508,-2.4946353900333404,-4.113714870286548
13.758,-2.480385147798177,-4.15108970752466
14.011,-2.467899871974368,-4.1838652517155195
14.273,-2.4537093367526737,-4.221022463892671
14.508,-2.441214382405486,-4.253670131563635
14.758,-2.428652066310507,-4.286547032480012
15.008,-2.4144556598308142,-4.323539610363926
15.259,-2.40185385502751,-4.356347574425113
15.51,-2.3875990439597716,-4.393500604901395
15.76,-2.373232385696544,-4.430766080776031
16.011,-2.3606258178580726,-4.463473302491342
16.258,-2.348067625460333,-4.496054803573784
16.513,-2.333696456545204,-4.533191525177012
16.758,-2.3209908583180034,-4.5660408033143
17.008,-2.30823603071264,-4.5991031922995305
17.261,-2.2993894077525163,-4.62143248389282
17.509,-2.286352703205259,-4.653665046893515
17.759,-2.273175303026237,-4.686293945409973
18.008,-2.258282117887199,-4.723011958870941
18.259,-2.245063183323405,-4.755578708407496
18.522,-2.230110446491507,-4.7924557153294955
18.762,-2.2150464997165464,-4.8294469920522225
19.009,-2.201828410027884,-4.8619135289553705
19.259,-2.1867983786419973,-4.898815183219842
19.514,-2.1735995741411442,-4.931117281807854
19.759,-2.160283536588888,-4.963724367322034
20.013,-2.145275876152097,-5.000422527524641
20.264,-2.1300853330914933,-5.037474956683396
20.508,-2.1168133813698637,-5.069900404164275
20.758,-2.1035700173521175,-5.102118600954497
21.008,-2.088376226825834,-5.139053948811404
21.258,-2.0750634518028375,-5.171467472513968
21.51,-2.0599025001171243,-5.208203337140865
21.76,-2.046480924370911,-5.240725886938183
22.017,-2.031325563622275,-5.277457424749788
22.258,-2.0179280368040144,-5.3098122133839425
22.508,-2.002620231141096,-5.346795687386012
22.758,-1.9892756347523954,-5.379002046869313
23.008,-1.973979816562445,-5.415814703206508
23.259,-1.958594642624329,-5.452896285633402
23.509,-1.945254821314691,-5.484919508024981
23.759,-1.9317419994223994,-5.5173367144929895
24.022,-1.9144780442708533,-5.558791410881301
24.271,-1.9010366398743361,-5.590937342196489
24.508,-1.887522257144531,-5.623259828121916
24.76,-1.874044962963476,-5.655514603526122
25.008,-1.8586511991773624,-5.69221426134603
25.261,-1.8513744148520128,-5.709539482683406
25.509,-1.850991236417024,-5.710643405857652
25.764,-1.8507210450219551,-5.711922383093925
26.012,-1.8506283844675933,-5.713003690725334
26.259,-1.8506448917784473,-5.713801533405374
26.523,-1.8507830785055457,-5.714644758834262
26.758,-1.8510325207203433,-5.715510061626701
27.009,-1.8515394889403844,-5.716696950196328
27.274,-1.8521725359619643,-5.717768474091756
27.511,-1.852862227076672,-5.718659713932325
27.758,-1.8536712270217544,-5.719485505181863
28.01,-1.854713879140986,-5.720311651365359
28.259,-1.8556252475146295,-5.720885491031263
28.511,-1.8646819281368567,-5.726769245472884
28.76,-1.8837434586781574,-5.741983087876534
29.011,-1.9135826058884633,-5.768054643843142
29.287,-1.9474457719979656,-5.797640886754474
29.51,-1.9698723435370122,-5.817249899655809
29.761,-2.0000822559070985,-5.843621924522128
30.009,-2.0263437511660647,-5.866561409580557
30.261,-2.056349023585273,-5.892767089757454
30.509,-2.082755917175383,-5.915794847713242
30.76,-2.1127316380537766,-5.94197303252178
31.008,-2.139021432246787,-5.9649062004920745
31.269,-2.1693034443673374,-5.991286055548729
31.508,-2.1954080195674925,-6.014080454367971
31.759,-2.2218459221190185,-6.037122353622117
32.01,-2.2519787992139197,-6.063356307528935
32.258,-2.2782282856861236,-6.086258886813282
32.524,-2.312200619030701,-6.115833203776862
32.758,-2.334785157808801,-6.135489649815743
33.011,-2.364692438587623,-6.1615544487462826
33.264,-2.3949774328289424,-6.1878928781151235
33.519,-2.4211803879460034,-6.210714785511074
33.76,-2.4475730575102674,-6.233676245726212
34.013,-2.4777738956758064,-6.2599149759863995
34.258,-2.5040397285121503,-6.282782914005238
34.51,-2.5341170474236843,-6.308927842340558
34.758,-2.560696548687264,-6.332002532833197
35.013,-2.590556880386831,-6.357982854053141
35.271,-2.6208159651322163,-6.384256450683027
35.51,-2.6471778151948775,-6.407136805307794
35.766,-2.6772313750884718,-6.4332575819152495
36.013,-2.703685160530887,-6.45620296201103
36.258,-2.7301100427072833,-6.479145952278474
36.521,-2.7601017009059907,-6.505170365425112
36.767,-2.790452911979103,-6.531465819273095
37.012,-2.8166332569065773,-6.554195927202214
37.261,-2.8468621583646643,-6.5803970103409375
37.516,-2.8733600890027162,-6.603334934131419
37.758,-2.899647458219758,-6.626144371945812
38.009,-2.9298051216383674,-6.6522599629956884
38.259,-2.9563559215632433,-6.675231369235964
38.521,-2.986306657927053,-6.7011958245994325
38.758,-3.0128856660376835,-6.724189179364955
39.012,-3.042984013175128,-6.750243291491878
39.262,-3.062027846280282,-6.7668941532307185
39.513,-3.0613184014024415,-6.766095715300124
39.776,-3.0605846789778512,-6.7650388737634835
40.014,-3.060225288593669,-6.764373520711338
40.269,-3.0601472539392263,-6.764056057637323
40.528,-3.0599195891039974,-6.76307467358742
40.76,-3.0598361005058288,-6.762327928389384
41.009,-3.0598398833066307,-6.761269469401201
41.26,-3.059979441413706,-6.760119969784497
41.513,-3.060483391393947,-6.7578424393823395
41.763,-3.0609486799728383,-6.756609049700036
42.009,-3.061494497147923,-6.755574036418656
42.258,-3.0621532412743164,-6.754617458858474
42.508,-3.0629725201378064,-6.753694231751775
42.762,-3.063357843244604,-6.753380604624741
43.011,-3.0641091033942085,-6.752883359139117
43.261,-3.065011004134161,-6.752436651621598
43.524,-3.0651043430030294,-6.7524005992292935
43.76,-3.056534625671071,-6.756087878884791
44.008,-3.036917498910363,-6.766632855745627
44.258,-3.0071902279004434,-6.784465173740835
44.508,-2.973004236268739,-6.805006590915971
