time, goal_x, goal_y, x, y 
12.393,1.24206235910698,-0.27712205837644444,-6.040050603734888,-2.4997656568954003
12.396,1.24206235910698,-0.27712205837644444,-6.040050603734888,-2.4997656568954003
12.644,1.24206235910698,-0.27712205837644444,-6.024468951625112,-2.4993400951261036
12.894,1.24206235910698,-0.27712205837644444,-5.978049895575268,-2.4965739400179787
13.144,1.24206235910698,-0.27712205837644444,-5.9371703426313,-2.4911601850625464
13.395,1.24206235910698,-0.27712205837644444,-5.890784351691203,-2.4814234174183163
13.644,1.24206235910698,-0.27712205837644444,-5.85131078374541,-2.469987094085078
13.894,1.24206235910698,-0.27712205837644444,-5.807036051892201,-2.4533844957462043
14.145,1.24206235910698,-0.27712205837644444,-5.768150726737178,-2.4372603585451897
14.394,1.24206235910698,-0.27712205837644444,-5.721965984471735,-2.4217296527685663
14.645,1.24206235910698,-0.27712205837644444,-5.680818859644082,-2.41127727253152
14.903,1.24206235910698,-0.27712205837644444,-5.634316371612646,-2.4007258381900596
15.148,1.24206235910698,-0.27712205837644444,-5.594768963961584,-2.3887335083662125
15.394,-4.663275823332444,-2.029160673551532,-5.5507811782994505,-2.371711247819931
15.644,-4.62265872900543,-2.0295762930683363,-5.511453172572926,-2.354351880496986
15.894,-4.581018968788306,-2.0295166899761194,-5.465770967270224,-2.3376110941324817
16.146,-4.538474672674995,-2.027197378601943,-5.424823008498253,-2.3259387692726503
16.394,-4.494924103473398,-2.026646306649413,-5.377223041732656,-2.316170220961173
16.644,-4.450768932626147,-2.0248382218454997,-5.3350314769376865,-2.3107348908522223
16.894,-4.406107022268063,-2.023921756219129,-5.286383040183128,-2.308133862066762
17.145,-4.361110915357666,-2.022667566299717,-5.243905087375995,-2.3090005994105134
17.394,-4.316350819757474,-2.0214081371215427,-5.196145112770444,-2.3112193784707724
17.644,-4.271416981976669,-2.020271685979822,-5.155092241552059,-2.3102321054045687
17.897,-4.226630940819189,-2.0188865196178503,-5.106642749961481,-2.3079143899195915
18.144,-4.178010045583273,-2.018785922596393,-5.064278999647831,-2.308862927916825
18.394,-4.136439471850862,-2.0210640212565707,-5.015714397993078,-2.313596549767744
18.644,-4.088490414908736,-2.0241103985570126,-4.972944814701,-2.3198404977175477
18.894,-4.046484667550345,-2.026304163755613,-4.925935396802567,-2.3238303378012772
19.151,-4.00215560354985,-2.0266888063252244,-4.884506794619206,-2.3242788377946293
19.394,-3.95704684673358,-2.026708292140319,-4.837085867326873,-2.3231237187209794
19.646,-3.9131561104607644,-2.026889789467028,-4.794476338803587,-2.324906621918718
19.894,-3.8681399304771245,-2.0272380369332703,-4.748000098402735,-2.3288147339476115
20.144,-3.826299057525504,-2.0274868275120066,-4.706668386473116,-2.3299383272891525
20.394,-3.7916145850162577,-2.026878251459897,-4.6594440800601475,-2.3277448345868192
20.644,-3.762259723091173,-2.0258305883206584,-4.618494368835822,-2.3227851492313394
20.9,-3.7414932413036874,-2.0233794505140223,-4.572005547335137,-2.3135696624934314
21.15,-3.7180309265446025,-2.0187954565960515,-4.532408559942745,-2.3025701630807074
21.394,-3.6980525626111316,-2.013322400320842,-4.487950376322958,-2.286461137502381
21.644,-3.675639852170997,-2.0053031673762804,-4.448931639848782,-2.2707841991686295
21.899,-3.6559144851269743,-1.9975168830710397,-4.402573075144289,-2.2557529320636767
22.144,-3.6325139544878686,-1.9900667489067034,-4.363135463590479,-2.2447862594950374
22.394,-3.612599233276299,-1.9846514657004621,-4.318696138766379,-2.229074900528897
22.644,-3.5901525718924847,-1.976886902168817,-4.279172526995296,-2.213330137365489
22.894,-3.570192080088577,-1.969105617146421,-4.24420984525281,-2.2033129204234854
23.144,-3.5524836104975286,-1.9642148389203036,-4.226581547920827,-2.2027370865606946
23.394,-3.53789405694101,-1.9677442696340421,-4.217560897240384,-2.203800943424231
23.644,-3.5203635794979355,-1.979174432270307,-4.217156544886865,-2.203862416234507
23.894,-3.50431198361406,-1.9922055726658336,-4.217174357878854,-2.203854135907664
24.144,-3.4875167532960085,-2.0041436515803723,-4.208014559475036,-2.2050605956583005
24.395,-3.4668286027474924,-2.015099236115778,-4.165211836583412,-2.2087637562739184
24.647,-3.438272461478091,-2.023622862438535,-4.123218412719229,-2.215066916210398
24.894,-3.412119582674971,-2.0339443786092226,-4.100200392741664,-2.2198835317137307
25.146,-3.3917725542158546,-2.0515394016685766,-4.100161761795613,-2.219887639036116
25.394,-3.379639178388473,-2.0752060771906113,-4.100117253455334,-2.219892452339399
25.644,-3.368998326025096,-2.095911854208702,-4.100078160984847,-2.2198967199927573
25.895,-3.3568173524319214,-2.1196498117694667,-4.100033065767565,-2.2199016898322994
26.144,-3.345475894079282,-2.142460662189067,-4.0861449903281635,-2.2236157646457575
26.394,-3.329796278243612,-2.1634425738259537,-4.046542790392052,-2.2365531179382763
26.645,-3.2987058547935844,-2.1906403851863496,-4.024225081908205,-2.245668023233791
26.894,-3.2763284954710707,-2.2125868099216666,-4.024195917799969,-2.2456771542158784
27.145,-3.2620924879589213,-2.231371318451198,-4.011971569291213,-2.251387923324708
27.395,-3.242308103930676,-2.2496997688395464,-3.974226231656851,-2.269008595069149
27.644,-3.2065077689615906,-2.275020608150429,-3.9367902397998984,-2.288853390190882
27.894,-3.1720159381520485,-2.298167928767317,-3.8956459237116543,-2.314844240935173
28.144,-3.1347507373803447,-2.3232708311785064,-3.8615156238198116,-2.338141907746829
28.394,-3.097582981227289,-2.3473646339643883,-3.8217864314752727,-2.3638035903227506
28.645,-3.056731007042504,-2.370944777797126,-3.7874081753389035,-2.3871990372547516
28.894,-3.020486696110751,-2.3906962962381306,-3.7466104795381425,-2.4110215158909116
29.144,-2.9777520154091195,-2.4101384801114745,-3.709539517826868,-2.42906162490332
29.394,-2.939218061618943,-2.4242837455279966,-3.6656574585131048,-2.4465330748381215
29.644,-2.8940019691547345,-2.4371793017218106,-3.626241346054017,-2.4589385291300716
29.895,-2.8537156852894063,-2.446262761262454,-3.5803709639341785,-2.469694243778299
30.144,-2.806870119215103,-2.456671076711801,-3.5394504002797404,-2.4761397816251915
30.395,-2.7667759906027602,-2.465095553495345,-3.492790931584712,-2.481463796743653
30.644,-2.720217901041294,-2.4724847350806103,-3.450810437125373,-2.488864886839357
30.895,-2.6786760725749876,-2.4793881224043215,-3.403525291075771,-2.499517780411632
31.144,-2.631215591335271,-2.489951100587252,-3.3628009799587493,-2.506348293180935
