trial,final_clustering_time
Data0,560.554
Data1,602.295
Data10,485.526
Data11,62.799
Data12,703.818
Data13,224.816
Data14,1809.325
Data15,716.046
Data16,296.596
Data17,335.322
Data18,434.339
Data19,221.322
Data2,347.369
Data20,227.353
Data21,74.562
Data22,542.257
Data23,113.559
Data24,1752.307
Data25,242.29
Data26,257.346
Data27,374.301
Data28,221.351
Data29,134.552
Data3,131.843
Data4,230.473
Data5,83.855
Data6,416.304
Data7,545.289
Data8,416.548
Data9,365.531
