,time, goal_x, goal_y, x, y 
2220,609.618,3.256182495593331,-3.554486236618207,3.198877645149743,-4.1899364708755495
1253,320.571,1.0897696783815043,-3.964728335753082,1.0890216345930137,-4.235829245508048
3476,875.537,5.268644218192541,-4.19511347648146,4.738549995443343,-4.836802849768491
1518,388.991,3.264237190182149,-3.432460358352434,2.905561565029108,-2.991400220912136
1124,289.817,4.437986375809599,-3.1374390038455693,2.819883776795435,-3.2500596894391784
2768,694.457,0.5519539270998703,-3.593056612444615,2.6330131808411306,-3.9639959694735545
1946,493.952,3.580977473697336,-4.456238480800626,3.5052892527874646,-4.508368220485454
1936,493.199,3.090561713641971,-4.046851341586611,2.578042663366193,-3.725188100244851
2126,538.41,1.600069963742922,-5.187752121734087,1.7591513579178086,-3.51659034488957
1381,353.509,2.1589882806539595,-3.3132316758405262,1.986274359358866,-2.563287815155665
1971,503.662,3.3407499728425627,-3.3279934751040647,2.829729248459732,-3.3150192427319456
2872,727.86,4.422354735182027,-0.5744998890006194,4.067743077522996,-0.0866973121073192
1850,469.012,3.0383270163759497,-4.41530982217752,3.034238410803452,-4.251650471819268
1531,387.542,2.658156249086879,-4.7281912966086335,2.253783368863305,-4.0783767030409575
1226,316.272,3.1807478948091217,-4.430505909142769,3.1706966075131686,-4.034941499789889
27010,6763.488,-0.0607359730682615,0.0655796553509358,-0.6073595283186013,0.6557968305358736
2449,619.776,2.0454073362391267,-3.240797630289007,1.1145462103672317,-2.9020687168110952
1086,278.801,3.2037774310432545,-3.195684397718363,3.177343082815956,-2.366435321016674
1442,370.32,3.101056297743839,-4.319733120475413,3.095389169070204,-4.1222312277493
