,time, goal_x, goal_y, x, y 
4547,840.84,-0.44616878976630436,-2.684477014497798,-0.2712345887454508,-3.296377260865021
685,124.903,2.6499580111665133,-4.439432270675345,2.556233249405373,-5.159962030721354
350,99.581,3.755193792649629,-3.237566126621469,3.707771034818772,-3.3259919679260554
466,128.608,2.951648254146887,-3.4991301741993275,3.2926781044451765,-3.5188785972430896
1931,494.901,2.1746469629468272,-2.263588954899144,2.44164022550147,-2.9201158610576465
648,174.089,4.553000871074143,-4.093227354388735,4.570771597846746,-3.3695654681011
646,173.597,4.40250840047298,-2.96260953201139,4.464359145438468,-2.3798518786595158
202,62.616,1.2750051350544522,-1.8048432699365835,1.2956371939421436,-1.7050701961168346
202,62.623,0.3660187591615142,-1.9682444585837355,0.4842575029734065,-1.389097447808679
512,140.109,2.126196662090916,-2.964020932063167,2.091376071669688,-3.0299963886219308
238,71.645,1.4498009945650552,-2.4152220975184515,1.4636523852417171,-2.273445645597656
400,112.093,3.378198733465488,-4.898632328238321,3.561096900551408,-4.579683974848858
335,95.836,4.285133162045721,-2.3427057795570487,4.145881214058384,-2.0800041158390803
444,123.156,-0.3866257322812329,-2.7474808057817484,-0.3252090965325127,-2.637967294675857
340,97.148,-0.9345722014021228,-2.985651290287336,-0.8778536236301133,-2.882757573867485
392,110.103,-0.3022392737487976,-1.49817686455964,-0.9232760246609386,-1.098290064892648
294,85.59,2.50871549393973,-2.70133651292971,2.1936975683018214,-2.0842540618598533
304,88.141,5.497703437840753,-0.5311954606590528,5.234363513744764,0.0173868747103869
500,137.107,4.431605884040594,-2.3326286138512606,4.193573671513784,-1.6364338828898268
867,228.842,2.714138845369235,-2.368589931679,2.9470503935583405,-3.031560324000476
223,68.552,1.3228604465099054,-2.727418017869746,1.3024257350305586,-2.2657609766051974
300,87.161,1.0215743545707,-2.360190898699675,0.8008449269104406,-1.702271966182633
236,71.163,2.210476691818952,-2.701831659861599,2.344204629428662,-2.6941458721849427
502,137.639,2.157736484044627,-3.416301890473548,2.161200257594116,-3.6687364817224575
312,90.641,4.43193322811336,-3.023804739783745,4.613142917084418,-2.6647946154387143
506,138.66,3.042882168038739,-4.446358887672175,3.079056167109168,-5.115421351658971
539,147.414,4.6462106836977455,-2.7175264962995502,4.420213931413473,-3.395661322818149
297,86.38,1.3243207687532406,-1.6047889556975663,1.1499218825345032,-1.6157173823317956
17661,4427.425,1.9300798117672235,-2.2822157047739786,1.7769600555227767,-1.6094007513227886
339,96.89,4.562681845166467,-3.7026816720796183,4.371894582215746,-3.788776210668051
554,151.134,3.880532251706982,-2.675908373835356,3.676305740883154,-3.0611312367379138
800,212.124,4.676191859359005,-4.463267924364277,4.856326635738067,-4.863209793472837
595,160.897,1.5815233653559986,-2.3373029957295564,1.1543701667840218,-1.9198484257816548
316,91.726,4.685545775321465,-3.618843781323287,4.663221703872543,-4.257575452311329
645,173.978,1.801141897528792,-2.168189700367876,2.0693828462115977,-3.2566561945905894
327,94.46,3.73357283249382,-1.3883573767160078,3.505652685597088,-1.7967307553679313
654,176.222,1.328240923834778,-1.70001160591538,1.252013986790809,-1.1134835562336067
346,99.275,3.9566084791043705,-3.155003577442594,4.139158718947763,-3.889734247453144
458,126.628,1.1167821173259975,-2.237616520900376,1.06969505320993,-2.166338211408517
736,196.149,2.689855488156583,-1.801635501239908,2.4564874788968414,-1.445724589644277
