time,goal_x,goal_y,x,y,er_x,er_y
6.06,-5.807555382320337,1.6396462872182043,-6.310123324881931,0.35001714057769395,-5.304987439758743,2.9292754338587144
6.06,-5.807555382320337,1.6396462872182043,-6.310123324881931,0.35001714057769395,-5.304987439758743,2.9292754338587144
6.31,-5.793937343325604,1.6493457399189049,-6.304917967930066,0.36420368231952177,-5.282956718721142,2.934487797518288
6.5600000000000005,-5.718659948577928,1.6575635791069916,-6.286322551309322,0.40758511480897675,-5.150997345846534,2.9075420434050065
6.8100000000000005,-5.54147110898157,1.6365864772658127,-6.266654766978838,0.4452782638980866,-4.816287450984301,2.827894690633539
7.06,-5.44259305523856,1.639856850244234,-6.240918320936466,0.486689341366363,-4.644267789540654,2.7930243591221053
7.31,-5.353834653582695,1.618421524520888,-6.215928066022095,0.5208875737370448,-4.491741241143293,2.7159554753047312
7.5600000000000005,-5.258724540289068,1.599469707131267,-6.18426620965112,0.5578837063390633,-4.333182870927015,2.6410557079234707
7.8100000000000005,-5.10333724876668,1.5239562454099584,-6.1542770157747,0.5880974612475004,-4.052397481758659,2.4598150295724164
8.06,-5.015802549376321,1.4858147086604183,-6.1175523473685205,0.6198127085065742,-3.9140527513841215,2.3518167088142623
8.31,-4.938291381541588,1.442035044135046,-6.083364481040488,0.6451464095601306,-3.7932182820426883,2.2389236787099613
8.56,-4.8581836333341135,1.3950794868773375,-6.042222877226251,0.671094164357597,-3.674144389441975,2.119064809397078
8.81,-4.736546746649312,1.2729026801250414,-6.004681427997331,0.6910053881417326,-3.4684120653012935,1.85479997210835
9.06,-4.677258812564315,1.2099145700769391,-5.960034719205468,0.7105509670723534,-3.394482905923162,1.709278173081525
9.31,-4.611503203552904,1.1479481467899961,-5.92001317536273,0.7246562687374936,-3.3029932317430792,1.5712400248424987
9.56,-4.561129040164917,1.0761929256460587,-5.8730069235483295,0.7373091840049792,-3.2492511567815043,1.415076667287138
9.81,-4.483931560694469,0.9308041571188973,-5.831211065791482,0.7453346009496278,-3.136652055597456,1.1162737132881668
10.06,-4.439608596852872,0.8535119469817688,-5.782911872267754,0.75087442073204,-3.096305321437989,0.9561494732314976
10.31,-4.418574634485252,0.7774774158927118,-5.740412416764415,0.7525855593444696,-3.096736852206089,0.8023692724409539
