time,goal_x,goal_y,x,y,er_x,er_y
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
27.812,5.101407748711265,2.4651502945994195,5.242494415037984,0.9802157843786911,4.960321082384545,3.9500848048201482
28.062,5.0954553856101406,2.4931327714243325,5.2331479457030134,1.0269765536964306,4.957762825517267,3.9592889891522347
28.312,5.172743774546371,2.5222008121506754,5.227591374303154,1.0691348151891351,5.117896174789588,3.9752668091122154
28.562,5.257412907644417,2.5439123604059484,5.224899760690434,1.1176957283117912,5.2899260545984,3.970128992500105
28.812,5.418545261685754,2.549853640021048,5.22567761962525,1.160276987146818,5.611412903746258,3.9394302928952776
29.062,5.5005540650170905,2.5566642383327975,5.230199191306545,1.208746600192272,5.770908938727636,3.904581876473323
29.312,5.581113969413148,2.562368294981116,5.237301458617639,1.2506912896575568,5.924926480208657,3.874045300304675
29.562,5.660099578045465,2.5576303593690977,5.249004340173448,1.2979620040076938,6.071194815917481,3.817298714730501
29.812,5.809798785868219,2.515363181991872,5.26235239574373,1.3382108845731586,6.357245175992709,3.6925154794105857
30.062,5.889862040235327,2.5104785287163223,5.281155614696232,1.383222179371155,6.498568465774421,3.6377348780614893
30.312,5.959217515826081,2.4891750977766742,5.300338501065707,1.4209614470928913,6.618096530586454,3.5573887484604576
30.562,6.032900246675691,2.463746540233986,5.325710641793579,1.462543133122994,6.740089851557804,3.4649499473449774
30.812,6.160010585344194,2.400214565614699,5.350507713955605,1.4971310309053778,6.969513456732782,3.30329810032402
31.062,6.225338662633132,2.3653078602995103,5.381714588095264,1.534305258943177,7.068962737171001,3.1963104616558438
31.312,6.289593719950938,2.334766435909226,5.411426069761317,1.5647186767410644,7.16776137014056,3.1048141950773878
31.562,6.350435453506028,2.2989367912373586,5.447967510188343,1.5969077762469297,7.252903396823713,3.0009658062277875
31.812,6.449672351816854,2.207049684812522,5.481842587578302,1.622473246268156,7.417502116055406,2.791626123356888
32.062,6.509510503006078,2.1672620509167464,5.522860801526931,1.648837049210934,7.496160204485227,2.6856870526225585
