time,goal_x,goal_y,x,y,er_x,er_y
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
27.811,4.101400191035465,3.8709927121281837,2.957114238140919,2.938832562932249,5.24568614393001,4.803152861324119
28.061,4.18720685529945,3.8253823776119535,2.9955320564698833,2.9685176732771565,5.378881654129016,4.68224708194675
28.311,4.250360450488886,3.762620604002468,3.031063867386841,2.991913761002154,5.469657033590931,4.533327447002782
28.561,4.313863258172941,3.7037165305530495,3.0735301053549042,3.015595567918542,5.554196410990978,4.391837493187557
28.811,4.4057232394297206,3.5599627415071824,3.11212132414904,3.0333992117911963,5.699325154710401,4.0865262712231685
29.061,4.455001670569846,3.4941137370286546,3.1577482189427823,3.0504987917380064,5.75225512219691,3.9377286823193023
29.311,4.501436955847413,3.422879722326969,3.1985193503348346,3.062371544062056,5.8043545613599905,3.7833879005918822
29.561,4.542442194469615,3.35107633682123,3.2461162924751403,3.0724597501776953,5.838768096464089,3.6296929234647646
29.811,4.586251382351421,3.200644070788064,3.2883579114682115,3.0781542424306116,5.8841448532346305,3.323133899145516
30.061,4.619551725611497,3.1275448714030802,3.33684897896976,3.081079193915026,5.902254472253233,3.1740105488911343
30.311,4.633276354662949,3.051718593692106,3.379461737877477,3.0804398685697163,5.887090971448421,3.0229973188144954
30.561,4.657808756138934,2.9777308842528263,3.427899026405484,3.0761626472357646,5.887718485872384,2.879299121269888
30.811,4.654458323436832,2.8307860166700354,3.469926760680528,3.069228527150165,5.8389898861931355,2.5923435061899056
31.061,4.665474519361945,2.7568454437876895,3.517271166037533,3.0577302798895865,5.813677872686356,2.455960607685792
31.311,4.670039667171125,2.680008471204549,3.5575789256536074,3.0446138500023707,5.782500408688643,2.315403092406727
31.561,4.669962982762868,2.603825177718811,3.6025726871162553,3.026068115731308,5.737353278409481,2.181582239706313
31.811,4.6469048934460515,2.4645117348977554,3.6406534996569784,3.006929258762223,5.653156287235125,1.922094211033288
32.061,4.63749231247365,2.3897468157950934,3.682182912461476,2.9818963303389596,5.592801712485823,1.7975973012512272
