trial,cluster_label,n_members,compactness,cohesion,dispersion,coverage,min_inter_robot
0,0,6,1.6859733183509098,1.1147985944773504,0.6532982100989481,2.861344444476905,0.3998856031912601
1,0,6,1.5875188827522573,1.0415587699430326,0.5845108695552674,2.481296885316193,0.6014877683351479
2,0,3,1.6691595209396872,0.9615445186949417,0.28751489779987716,1.086263796518475,1.3471337008675088
2,1,2,1.4889140935537621,0.7444570467768811,0.0,0.0,1.4889140935537621
3,0,4,1.3587437814341115,0.7927088004927619,0.45860907731278483,0.9712251528162686,0.8495217431070076
3,1,2,1.5598137598285482,0.7799068799142741,0.0,0.0,1.5598137598285482
4,0,6,1.507925778839437,0.9723801252878149,0.5448724926699602,2.4781011193620626,0.6172782642392671
5,0,6,1.4194766583519784,0.9074949440208862,0.5394292786150895,2.181974532316517,0.45467320079081863
6,0,6,1.7488199183160595,1.149791925377162,0.7053864821127073,2.814714445752477,0.6972091228709788
7,0,6,1.7873889054855951,1.1500027752995743,0.80005951497828,2.410605098997234,0.5613807815746453
8,0,2,1.2008761950691609,0.6004380975345804,0.0,0.0,1.2008761950691609
8,1,4,1.4914267092045759,0.8880865967795116,0.40950849829232966,1.4331778463357052,0.8626566034706681
9,0,6,1.8035925389700522,1.1941936532007882,0.7243075593228376,3.1728389176181095,0.3797645382961107
10,0,4,1.5753376528468843,0.903742283492819,0.484092576663054,1.4935180226240048,1.0804057428891756
10,1,2,1.5533290772194346,0.7766645386097173,0.0,0.0,1.5533290772194346
11,0,2,1.0133754702388929,0.5066877351194463,0.0,0.0,1.0133754702388929
11,1,2,1.6162713117689909,0.8081356558844954,0.0,0.0,1.6162713117689909
11,2,2,0.6497073628088416,0.3248536814044208,0.0,0.0,0.6497073628088416
12,0,6,1.8276483329945235,1.1719086245717218,0.7686202983944165,3.395364315000351,0.5117226997798717
13,0,2,1.609946126057283,0.8049730630286415,0.0,0.0,1.609946126057283
13,1,4,1.5279908710563141,0.9392153568617742,0.3867051497938792,1.6166831759843785,1.0253752749996705
14,0,2,1.630995105141948,0.815497552570974,0.0,0.0,1.630995105141948
14,1,4,2.6764020789917873,1.6132806052011959,1.1793249757070197,1.131039131718594,1.5247756552510643
15,0,3,0.8662393530123159,0.4516106508566054,0.3134675586265151,0.00832746551648286,0.5673916796468943
15,1,3,1.2257883314808125,0.7550431271155388,0.6280588680659809,0.2795713893436205,0.3377240517414589
16,0,6,1.5728698576271403,1.0255642075442168,0.4904191926882854,2.8661388389107407,0.7420857649134422
17,0,6,1.4529862070560002,0.9594950619973562,0.5060942832775074,2.242636806406517,0.5716180281711586
18,0,4,2.1839171682448604,1.3235485405681955,0.8360824625649442,2.005628861318138,1.390390314644398
18,1,2,0.9389859310247771,0.4694929655123886,0.0,0.0,0.9389859310247771
19,0,6,1.763719434632416,1.148482614638742,0.7594866365013562,2.28545858580339,0.6940152919685831
20,0,6,2.3257022910033727,1.4943367277032518,1.0923293183492562,3.8932052856437283,1.067237063979468
21,0,4,1.6863362081987294,1.0430203971854344,0.44730006032356073,2.0573413022394678,0.9574161583896852
21,1,2,1.5700787281124793,0.7850393640562396,0.0,0.0,1.5700787281124793
22,0,6,2.2158962378452554,1.4547145912669777,1.0904791619474594,2.959370910457215,0.5606101662823748
23,0,4,2.2580890364106554,1.3860010800031233,0.9522543458572639,1.6512353989414472,1.0660461244375823
23,1,2,1.5585583446826987,0.7792791723413494,0.0,0.0,1.5585583446826987
24,0,4,1.503039621195131,0.8698234962362765,0.43389520487215444,1.367419794733275,1.0738874488850199
24,1,2,1.555973081183604,0.7779865405918021,0.0,0.0,1.555973081183604
25,0,4,1.4231708251290331,0.8211292260218845,0.4120876235500372,1.2579571801020302,0.9847508868615754
25,1,2,1.2990461022472257,0.6495230511236129,0.0,0.0,1.2990461022472257
26,0,6,1.6430892348975314,1.0271313646433764,0.587539266535509,3.0630032422012756,0.5249763097951375
27,0,5,2.2495976438296643,1.4494065210983291,1.0653072667523857,2.2175805436335185,0.8296197639737376
28,0,4,1.7026736823901591,1.0019932487342673,0.5041342650613144,1.643324850147901,1.284484064023227
28,1,2,1.5086320164740084,0.7543160082370042,0.0,0.0,1.5086320164740084
29,0,2,1.607070413304278,0.8035352066521391,0.0,0.0,1.607070413304278
29,1,4,1.5776340422194541,0.9386748605689449,0.5254047715723231,1.3500786361302326,0.8879099001279848
