metric,mean,sd,ci95_halfwidth
avg_compactness,1.6529802405850427,0.3000404118623444,0.1120369310648272
avg_cohesion,0.9974361887696046,0.231587431731508,0.08647616820459261
avg_dispersion,0.5013786666610262,0.2911243953992264,0.10870763580206269
avg_coverage,1.700000999137708,1.1430806314077016,0.4268333225769594
silhouette,0.640753943991857,0.1670777898152991,0.08902946979371884
dunn,1.7502478985301697,0.6203594358740523,0.34354360472250406
