,time, goal_x, goal_y, x, y 
426,151.248,-0.7722952358191706,-1.9404865917491856,-0.9342146838390252,-2.2968621583853657
316,123.154,-1.105199389042561,-2.565413947856926,-1.6657477356039012,-2.771986174614092
270,112.285,-0.7173249569613397,-1.615433293992887,-0.8886030193782841,-1.6596240592666278
738,229.285,0.2043260452503938,-2.0300755010190743,-0.5003936804463287,-2.129068730862459
342,131.896,-1.0187106918582225,-2.4579967843564403,-1.31906430481464,-2.5637187934395094
399,144.577,-0.981690345435168,-1.962522741513072,-1.3654513585642234,-2.5679824992895663
357,133.391,-0.8962735816512784,-1.759212240142594,-0.9298597421244104,-1.9933792142073783
300,119.14,-0.8758377121269912,-2.099822267878352,-0.9558632069831842,-1.9139633265326117
470,162.286,2.141819948310445,-1.9072930857168515,1.72125231720516,-1.3669448340946757
362,135.288,4.103331830902082,-3.5651947901930705,3.438562114984163,-3.274394479686385
329,126.971,-0.0074439580206845,-1.8721351534567376,-0.331518695621292,-2.3882189833899004
323,124.934,1.3283590138804728,-2.26244399751487,0.6585678293782055,-2.429315702226178
355,132.893,-3.717769603963169,-2.228682779019865,-3.783063446247209,-2.5655811495923664
420,149.751,5.05941337243547,-2.865241244697732,5.095920671857944,-3.468530010470504
663,209.888,4.578767679064905,-2.058364239059246,4.314895037572248,-1.5421484256220073
403,145.625,0.2727494341410381,-2.860614978961224,-0.4434862735185867,-2.7969712282480583
390,142.241,-1.270518546411473,-2.337383431285429,-1.6054073794271162,-2.6887899173837857
475,162.939,-0.5343364214879621,-3.031476539817884,-1.0654068728652106,-2.727425864407117
264,110.149,0.2139112748610628,-2.717154701766029,-0.4940246181018456,-2.5888385405156225
399,144.468,-1.140253032334855,-2.322078277359738,-1.672640287691774,-2.7064619942240555
399,144.551,-0.714458503377038,-2.163689376012992,-1.1717081118415702,-2.4955433839205883
326,126.396,0.1161003480791775,-1.5754233781362448,-0.552781277839681,-1.841456347009209
257,108.509,-4.0553720829024495,-1.602471764727488,-3.9429858669129634,-1.8771706270732684
294,118.231,-3.913484330309135,-1.622501627619735,-3.785434653701788,-1.9027917592483072
349,132.02,1.378785388899793,-1.7792483860401695,0.6816335927802394,-2.021540769201679
517,173.973,-0.7744753082662124,-2.4759254164515503,-1.298730913520824,-2.442240308528424
467,161.621,-2.811536927024224,-2.9198654530032933,-2.6434390244486154,-3.257505104322929
669,211.94,-0.9552539386622424,-1.8847186052703448,-1.0825899941177484,-2.167889757834907
570,186.68,4.6233918514454295,-1.8387837828748053,3.9959821037091294,-1.5681759655232803
241,105.109,-0.175254708675395,-1.4807133693591217,-0.7352375870397129,-1.9416104995422432
305,120.399,-0.9937963874300252,-1.6878251138253446,-1.096816429895077,-2.2845133744249218
381,140.008,-3.595589494040811,-1.999643907820826,-3.5428790358745053,-2.709759719914348
269,111.4,-0.84265833745135,-1.8598275475067687,-1.2455222586568575,-2.4327611925402044
513,172.926,3.8180197613829088,-2.625873354231345,3.0890998767842697,-2.58441414973618
477,163.384,4.134487969443201,-1.1583762313638717,4.312553312015252,-0.470983013872341
333,128.002,-0.6336739196894311,-2.594775920951688,-1.2279305659043571,-2.412694810332156
366,135.647,0.6554149538388435,-2.6051064616407302,-0.0405494377960948,-2.716935080602413
714,223.236,-1.9521845131510545,-3.1839864458791416,-1.8131557653298072,-3.432464796088363
273,112.39,-0.3980763268162977,-2.188158208233251,-1.0070635363470903,-2.5191980959189912
488,166.81,2.189828651178562,-2.6841746618126936,1.6547436226263008,-2.257620927545444
