time, goal_x, goal_y, x, y 
12.763,2.927079282631274,-3.6463081800700783,-9.719834774246069,2.520193597734339
12.763,2.927079282631274,-3.6463081800700783,-9.719834774246069,2.520193597734339
13.013,2.927079282631274,-3.6463081800700783,-9.710458319200171,2.508638779664006
13.263,2.927079282631274,-3.6463081800700783,-9.681922530709057,2.4742393991027134
13.513,2.927079282631274,-3.6463081800700783,-9.653432119413184,2.4441841841038743
13.763,2.927079282631274,-3.6463081800700783,-9.618529606513953,2.4124860577794167
14.023,2.927079282631274,-3.6463081800700783,-9.5811982936494,2.383618933816088
14.263,2.927079282631274,-3.6463081800700783,-9.546794647508424,2.3609613848648645
14.513,2.927079282631274,-3.6463081800700783,-9.51062268881355,2.340529170864128
14.763,2.927079282631274,-3.6463081800700783,-9.468143779692614,2.320603779211299
15.013,2.927079282631274,-3.6463081800700783,-9.42914741225212,2.303862232271971
15.263,2.927079282631274,-3.6463081800700783,-9.386005210166815,2.2816283854716715
15.513,2.927079282631274,-3.6463081800700783,-9.351021963434578,2.2615428065779555
15.763,2.927079282631274,-3.6463081800700783,-9.308745157138668,2.240602441680176
16.013,2.927079282631274,-3.6463081800700783,-9.270499594618014,2.2251113522208636
16.264,3.0,-2.0,-9.248612971097621,2.2176715764302766
16.514,3.0,-2.0,-9.248125109762698,2.217525487314643
16.763,3.0,-2.0,-9.247574199137466,2.2173293419370097
17.013,3.0,-2.0,-9.24709699216909,2.2171312562997563
17.263,3.0,-2.0,-9.246570697638166,2.216880163519181
17.514,3.0,-2.0,-9.246129536492926,2.216641121003714
17.764,3.0,-2.0,-9.24566435357735,2.2163578668499135
18.013,3.0,-2.0,-9.245292730938623,2.2161046864355476
18.263,3.0,-2.0,-9.244916611093752,2.215819272201482
18.513,3.0,-2.0,-9.244646449215626,2.2155955597475328
18.765,3.0,-2.0,-9.245173127795427,2.2161422200346985
19.013,3.0,-2.0,-9.24578180721641,2.216788916989179
19.263,3.0,-2.0,-9.245625645244091,2.2166095562894297
19.513,3.0,-2.0,-9.245455561187159,2.21640741453298
19.763,3.0,-2.0,-9.245263847817332,2.2161545481719283
20.013,3.0,-2.0,-9.245013403792921,2.2157751702291475
20.263,3.0,-2.0,-9.244192587563015,2.2143984540118673
20.513,3.0,-2.0,-9.243567885665481,2.213275226276027
20.763,3.0,-2.0,-9.243305436424027,2.2127759487691616
21.013,3.0,-2.0,-9.24312079090328,2.2123809959223535
21.264,3.0,-2.0,-9.24292625331511,2.211906025766469
21.513,3.0,-2.0,-9.242769716623156,2.2114656463616877
21.763,3.0,-2.0,-9.242611418821003,2.2109412513214326
22.013,3.0,-2.0,-9.242492100803332,2.210462122711215
22.263,3.0,-2.0,-9.24238128079182,2.209899902401818
22.513,3.0,-2.0,-9.242307245763461,2.2093919874743047
22.764,3.0,-2.0,-9.24225139828619,2.208801967133013
23.013,3.0,-2.0,-9.242228244389542,2.2082900400660153
23.263,3.0,-2.0,-9.242231443435514,2.20771528406002
23.514,2.958459422212454,-1.5774535548940545,-9.243260820905991,2.19476216956696
23.763,2.958459422212454,-1.5774535548940545,-9.24547820857286,2.1597004927147037
24.013,3.0,-2.0,-9.246383071135057,2.1371496746072327
24.269,3.0,-2.0,-9.246379890300247,2.136585559464688
24.513,3.0,-2.0,-9.246399952925664,2.1361282870076543
24.763,3.550432249704744,-0.30457512601529935,-9.249033403319832,2.1163915040489627
25.013,3.550432249704744,-0.30457512601529935,-9.254294593398223,2.0802826312368623
25.264,3.550432249704744,-0.30457512601529935,-9.258957502422922,2.0334625513346096
25.513,3.550432249704744,-0.30457512601529935,-9.260014825516722,1.9920290532151246
25.764,3.550432249704744,-0.30457512601529935,-9.257739639265749,1.9450212230273265
26.013,3.550432249704744,-0.30457512601529935,-9.252613912830432,1.903821741638228
26.263,3.0,-2.0,-9.247530868604395,1.8740127438049432
26.513,5.433926969802876,-3.2828487458809077,-9.246113166688625,1.8591468176765273
26.763,5.433926969802876,-3.2828487458809077,-9.238617337643944,1.8206933342935807
27.018,3.0,-2.0,-9.232349816802612,1.7969316252011407
27.263,3.0,-2.0,-9.232209023313661,1.796473301235995
27.513,3.0,-2.0,-9.232090427865383,1.7960065782992778
27.763,2.543230649628637,-4.3466178499429935,-9.229397688152085,1.781948651581563
28.013,2.543230649628637,-4.3466178499429935,-9.219716947331063,1.750735072366415
28.263,2.543230649628637,-4.3466178499429935,-9.20165115670057,1.7071964141376867
28.515,3.0,-2.0,-9.187870103490756,1.6783617843110419
28.763,3.0,-2.0,-9.18332082119054,1.6658489936893863
29.013,5.031654166692692,-1.9368740353317753,-9.180809935981959,1.6544428989498494
29.265,5.031654166692692,-1.9368740353317753,-9.174044726451264,1.6195540734594267
29.513,5.031654166692692,-1.9368740353317753,-9.164469717940266,1.5790715807518652
29.763,5.031654166692692,-1.9368740353317753,-9.150217536895447,1.5343883005592114
30.02,5.031654166692692,-1.9368740353317753,-9.132225785588624,1.4905637113108587
30.263,5.031654166692692,-1.9368740353317753,-9.11382255548174,1.4537694507185537
30.513,5.031654166692692,-1.9368740353317753,-9.092665241057132,1.4181308859543347
30.765,5.031654166692692,-1.9368740353317753,-9.065659388841985,1.3794912410399065
31.013,5.031654166692692,-1.9368740353317753,-9.039486800426875,1.34747625484177
31.263,5.031654166692692,-1.9368740353317753,-9.007059545778661,1.313415079831642
31.513,5.031654166692692,-1.9368740353317753,-8.976229915996923,1.2854895559500294
31.765,5.031654166692692,-1.9368740353317753,-8.939203812185738,1.256704269482762
